Name,Rating ,AUM ($B),Active %,Equity %,Allocation %,Performance Avg.,Page #
Capital Group / American Funds,High,2406,100,67,21,3.4,21
T. Row Price,High,738,95,75,10,3.4,24
JP MORGAN AM,Above Avg,973,90,67,2,3.1,25
Dimensional,High,669,98,86,0,3.2,27
MFS,High,394,100,82,3,3.1,30
Dodge & Cox,High,292,100,63,5,4.1,32
Columbia Threadneedle,Average,272,93,71,7,3.2,33
Janus Henderson,Average,270,100,67,18,3.2,34
American Century/Avantis,Average,193,100,82,1,2.8,35
GS AM,Average,362,81,67,4,3.1,36
Morgan Stanley Investment Mangament,Average,244,93,51,3,3.1,39
Principal Asset Management,Average,182,91,73,2,2.9,40
PGIM,Above Avg,158,99,28,1,2.9,41
Manulife/John Hancock,Above Avg,151,95,65,5,2.9,42
Hartford Funds,Above Avg,139,99,72,11,3,44
Natixis Investment Managers,Average,255,100,60,8,2.9,45
AllianceBernstein,Average,247,100,55,0,2.9,48
Six Circles,Average,100,100,65,0,3.6,49
Macquarie Asset Management,Average,119,100,70,5,3,51
First Eagle,Above Avg,81,100,22,74,3.6,54
Allspring Global Investments,Average,83,99,54,4,3,55
New York Life Investments,Average,78,96,36,2,3.1,57
Artisan Partners,Above Avg,80,100,88,0,3.2,58
Harbor,Above Avg,80,98,89,0,2.8,67
Amundi/Lyxor,Average,49,100,53,9,3.2,69
Neuberger Berman,Above Avg,82,100,83,0,2.8,70
Parnassus,Above Avg,40,100,99,0,2.7,76
Cohen & Steers,Above Avg,37,100,70,2,3.7,78
Baron Capital,Above Avg,35,100,100,0,3.3,79
Thrivent,Above Avg,31,100,58,4,3.3,81
GQG Partners,Above Avg,33,100,100,0,4.9,83
Touchstone Investments,Average,19,100,82,3,3,84
GMO,Above Avg,36,100,70,10,3.2,85
MassMutual Investment Advisers,Average,23,91,84,0,2.9,87
Brown Advisory,Above Avg,38,100,90,0,3.3,88
WCM Investment Management,Above Avg,22,100,100,0,3.1,89
FPA,Above Avg,21,100,4,49,4.3,90
Primecap Management,High,18,100,100,0,2.7,97
Diamond Hill Capital Management,Above Avg,18,100,75,0,3.4,98
Lazard Asset Management,Above Avg,18,100,99,0,2.6,99
Harding Loevner,Above Avg,18,100,100,0,2.4,101
Raymond James Investment Management,Average,16,100,73,0,3.4,103
Alger,Average,14,100,100,0,2.5,105
Causeway,Above Avg,14,100,100,0,3.7,106
Davis Advisors,Above Avg,14,100,98,2,1.9,108
Brown Brothers Harriman,Above Avg,13,100,24,0,3.9,110
Fuller & Thaler,Average,13,100,100,0,4.1,111
Baillie Gifford,Above Avg,13,100,100,0,2,112
William Blair,Average,13,100,100,0,3,113
Akre Capital Management,Average,13,100,100,0,2.7,114
Wasatch Global Investors,Above Avg,13,100,99,0,2.7,115
State Farm,Average,11,100,71,22,4,118
Fiduciary Management,High,9,100,100,0,3.6,122
Jensen Investment Management,High,9,100,100,0,3.8,127
Polen Capital Management,Above Avg,8,100,96,0,1.9,128
Amana,Above Avg,8,100,97,0,4,129
Champlain Investment Partners,Above Avg,7,100,100,0,3.8,131
"Tweedy, Browne",Above Avg,7,100,100,0,2.5,132
Mairs & Power,Above Avg,7,100,88,12,2.5,134
Smead,Average,7,100,100,0,3.9,137
J O Hambro,Above Avg,14,100,100,0,3.4,138
RBC Global Asset Management,Above Avg,6,100,69,0,3,140
Nicholas,Above Avg,6,100,100,0,3.5,142
Conestoga Capital Advisors,Above Avg,5,100,100,0,3.3,145
CIBC,Above Avg,5,100,85,15,3.2,146
Glenmede,Average,5,100,86,0,3,148
Driehaus Capital Management,Above Avg,5,100,96,0,4.1,149
Guardian Capital,Average,5,100,59,0,2.7,150
Value Line,Above Avg,5,100,70,30,3.7,151
Brown Capital,Above Avg,4,100,100,0,2.7,156
Westwood,Average,4,100,75,13,2.6,159
Bridgeway,Above Avg,4,100,100,0,2.9,162
